@relation VBTrain_5
@attribute m_x numeric
@attribute sd_x numeric
@attribute m_y numeric
@attribute sd_y numeric
@attribute m_z numeric
@attribute sd_z numeric
@attribute label {jumping, spiking,setting,recieving,moving}
@data
-232.57777,545.77637,413.5111,693.1994,113.21667,412.16156,recieving
-142.67223,513.1401,380.53888,656.99176,7.188889,216.96132,recieving
-260.68332,562.97296,382.3389,744.678,142.81667,279.8281,recieving
-178.61667,390.56326,324.9,541.2413,100.361115,292.60803,recieving
-193.08888,417.83664,395.24445,675.5328,106.31111,197.17944,recieving
-165.14444,485.66666,262.57224,470.37735,87.42778,233.24641,recieving
-244.58333,568.85486,345.73334,626.01196,119.344444,249.71222,recieving
-169.93889,413.08212,321.58334,523.9752,62.327778,239.242,recieving
-246.36111,607.5002,441.1611,746.7679,104.9,370.45624,recieving
-260.1611,640.4862,412.21667,771.01636,158.20555,355.57858,recieving
-221.2111,566.13696,416.3889,752.95825,147.92223,282.90033,recieving
-192.12778,557.56494,261.35556,462.0972,77.494446,275.5716,recieving
-229.67223,545.9211,317.1889,625.75824,111.12778,226.37514,recieving
-183.57777,362.7529,318.85,515.49945,82.57222,235.82855,recieving
-254.06111,545.75244,415.5778,778.8008,158.63333,300.30234,recieving
-198.84445,466.0946,269.37222,490.66516,92.35555,366.91364,recieving
-227.76666,430.8369,441.02222,783.4886,129.88333,248.61299,recieving
-178.34445,459.0406,202.59445,424.538,101.6,249.61308,recieving
-214.71666,387.81973,335.5111,621.0546,129.27222,230.26065,recieving
-239.87222,530.9352,345.46112,597.2613,71.23889,266.64227,recieving
-237.85,564.686,362.13333,682.3111,156.11111,406.46252,recieving
-194.15,514.4685,342.28888,648.718,80.41111,323.49994,recieving
-157.67223,391.36444,471.1722,714.0585,86.58889,296.17413,recieving
-195.98334,530.9511,420.79443,809.63245,122.583336,378.1636,recieving
-244.45555,608.994,332.35,650.8846,125.91111,276.81235,recieving
-235.76666,492.7651,336.8,611.6829,144.86111,265.7223,recieving
-163.63333,399.2195,325.42776,626.42236,156.7111,302.3321,recieving
-180.76666,473.9817,205.63889,361.2165,72.38333,268.54614,recieving
51.3,149.50308,481.99445,698.8049,-104.022224,216.88943,moving
44.33889,177.51369,512.2111,740.0719,-34.905556,201.03549,moving
57.488888,131.2023,513.0833,732.3396,24.477777,101.46095,moving
93.91111,161.64342,518.6389,746.87146,40.466667,92.182625,moving
